,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
1134,"frozenset({'CS50x', ""18-25, Other Europe, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.002092085792526321,0.4380283367067508,0.0011906179307060365,0.5691056910569107,1.299244006302526,1.0,0.0002742250707579076,1.304198388397541,0.23080449974433281,0.0027125474695807177,0.2332454871158883,0.28591191049176057
1180,"frozenset({""18-25, Other Middle East/Central Asia, Bachelor's, Low, Not Certified"", '8.02x'})",frozenset({'6.002x'}),0.0023982446889935878,0.2925008079193101,0.0013607062065211844,0.5673758865248226,1.9397412628047856,1.0,0.0006592176974023654,1.6353669849733976,0.48563199038395966,0.004635531347780739,0.388516455823971,0.28601393035318295
171,"frozenset({""18-25, Other Africa, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.008232272549453166,0.4380283367067508,0.004660418757335057,0.5661157024793388,1.292417989976615,1.0,0.001054450105181444,1.2952108811139649,0.2281345807692294,0.010553479952239727,0.22792495447541675,0.2883776198103214
1347,"frozenset({'18-25, United States, Secondary, Low, Not Certified', '6.002x'})",frozenset({'6.00x'}),0.008929634480295273,0.4380283367067508,0.005051621791709897,0.5657142857142857,1.2915015726323147,1.0,0.0011401888529069077,1.2940136983726134,0.22774113067241372,0.011431430660867556,0.22721065375302668,0.2886234613443094
1540,"frozenset({'CS50x', ""26-35, Other Africa, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.0019560151718742026,0.4380283367067508,0.0011055737927984624,0.5652173913043479,1.2903671838992166,1.0,0.00024878372048923623,1.2925348255744733,0.2254678073553974,0.0025190869278766035,0.22632645541635976,0.2838706845466717
453,"frozenset({""26-35, Russian Federation, Master's, Low, Not Certified""})",frozenset({'6.00x'}),0.0032827037232323578,0.4380283367067508,0.0018539622063851139,0.5647668393782384,1.2893385930790497,1.0,0.0004160449545965862,1.2911967978047274,0.22514763440523528,0.004218756047528738,0.2255247211732678,0.28449967798912307
3435,"frozenset({'CS50x', '18-25, India, Secondary, Low, Not Certified', '8.02x'})",frozenset({'6.00x'}),0.002211147585596925,0.4380283367067508,0.001241644413450581,0.5615384615384615,1.2819683442407008,1.0,0.0002730991143184121,1.2816897583881122,0.2204369560146078,0.0028283611003487026,0.2197799869621904,0.28218654137382054
256,"frozenset({""18-25, Pakistan, Bachelor's, Low, Not Certified""})",frozenset({'6.002x'}),0.004762471722824146,0.2925008079193101,0.0026703859302978244,0.5607142857142856,1.9169666220852473,1.0,0.001277359103678893,1.6105672665251474,0.4806315021072675,0.009064665127020786,0.37910075488027684,0.28492189252278216
370,"frozenset({""26-35, Egypt, Bachelor's, Low, Not Certified""})",frozenset({'6.00x'}),0.002279182895922984,0.4380283367067508,0.0012756620686136106,0.5597014925373135,1.2777746224030704,1.0,0.00027731537566199043,1.2763424217168713,0.21788597373520416,0.0029056252905625296,0.2165111940298509,0.2813068873007695
1206,"frozenset({""18-25, Pakistan, Bachelor's, Low, Not Certified"", '6.00x'})",frozenset({'6.002x'}),0.0024322623441566174,0.2925008079193101,0.0013607062065211844,0.5594405594405594,1.9126120143739496,1.0,0.0006492675057836588,1.6059108645641054,0.4783182011935209,0.004634994206257242,0.37730043300290433,0.2820462668110513
